"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-05","MiningPoolHub","RVN","UselessGuru","0","20:30:55","5.0931661","20:40:59","5.0931661","5.0931661","0","5.0931661","0"
"2023-09-05","MiningPoolHub","VTC","UselessGuru","0","20:30:55","1.02165905","20:40:59","1.02165905","1.02165905","0","1.02165905","0"
"2023-09-05","MiningPoolHub","XMY","UselessGuru","0","20:30:55","14.918930549999999","20:40:59","14.91893055","14.91893055","0","14.91893055","0"
"2023-09-05","NiceHash External","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","20:30:55","0.00057724","23:54:37","0.00057724","0.00057684","4E-07","0.00057724","0"
"2023-09-05","NiceHash Internal","BTC","33hZYX8iFg5zm9E3geqrNgeP6TMzszZk5R","0","20:30:55","0.00730754","23:54:37","0.00730754","0.00730754","0","0.00730754","0"
"2023-09-05","ProHashing","ETH","UselessGuru","0","20:30:55","1.1152209623217067E-05","23:54:37","1.1152209623217067E-05","1.1152209623217067E-05","0","1.1152209623217067E-05","0"
"2023-09-05","ProHashing","RTM","UselessGuru","0","20:30:55","0.0048188439854162","23:54:37","0.0048188439854162","0.0048188439854162","0","0.0048188439854162","0"
"2023-09-05","ProHashing","XMR","UselessGuru","0","20:30:55","2.563445299E-07","23:54:37","2.563445299E-07","2.563445299E-07","0","2.563445299E-07","0"
"2023-09-05","ZergPool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","20:30:55","0.00062133","23:54:37","0.00062149","0.00062148","6.5850118317225E-09","0.00062149","0"
"2023-09-05","Zpool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","20:30:55","2.791E-05","23:54:37","2.793E-05","2.793E-05","2.300403915032E-08","2.793E-05","0"
"2023-09-06","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","00:04:41","1.8800000000000002E-06","02:25:19","1.8900000000000003E-06","1.67E-06","2E-07","1.86E-06","0"
"2023-09-06","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","00:04:41","0.015402569","02:25:19","0.015402569","0.015402569","0","0.015402569","0"
"2023-09-06","MiningDutch","AEON","UselessGuru","0","00:04:41","0.00170007","02:25:19","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-06","MiningDutch","BELL","UselessGuru","0","00:04:41","0.43648422","02:25:19","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-06","MiningDutch","BTC","UselessGuru","0","00:04:41","4.699E-05","02:25:19","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-06","MiningDutch","CCC","UselessGuru","0","00:04:41","4.313485","02:25:19","4.313485","4.313485","0","4.313485","0"
"2023-09-06","MiningDutch","CLORE","UselessGuru","0","00:04:41","0.01281439","02:25:19","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-06","MiningDutch","DMS","UselessGuru","0","00:04:41","0.09630923","02:25:19","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-06","MiningDutch","FTC","UselessGuru","0","00:04:41","0.84452926","02:25:19","0.84452926","0.84452926","0","0.84452926","0"
